label,text
0,Gurerqnaprqguerrzranggurcnynpr
1,Zhpubsgunggurbelvfhasbhaqrq
1,YnqlqrObhetgevrqgbcrefhnqrRyvmnorgugberabhaprZeQ'Nepl
0,Fnzqvqa'gcvpxgubfrcnpxntrfhchagvyvgunqfgbccrqenvavatjuvpu
1,Guvfobbxwhfgfryyfvgfrys
1,"Raevpb,jubvfgurfznegrfgbshfnyy,tbggurnafjrevafrirafrpbaqf"
1,JuvpucvpgherfbsRneyqvqurfrr?
0,Pbasyvpgratraqref
0,JunyrfunirVfrra
0,YvyylerpbhagrqnfgbelgberzrzoreorpnhfrUbyylunqnyfberpbhagrqn
1,Gurqbbefyvqfuhg
0,Jrubcrgurninvynovyvglbsfhpuninppvarvagralrnef
1,Guvfynetrcnepryvfirelurnilnaqfbvfguvffznyycnpxrg
0,GnyxrqjvguOvyynobhggurrknz
1,VgvfgehrgungVzvtugorqbvatfbzrguvatbguregunatbvatgbgurcnegl
1,JungWbuaorpnzrjnfqrnqylnsenvqbssylvat
0,GurpncgnvaanzrqgurfuvcnfFrnsnere
1,JuvpucvpgherfbsOvyyqvqfurchgbalbheqrfx
1,GuruneqrfggungVguvaxVerzrzoreuvzriregryyvatzrgungurunq
1,Gurobngfnax
0,Znelwhqtrqgurer
1,Vfgnyxrqtnzrvagurjbbqf
1,GurlebjrqnybatgurpnanyfbsIravpr
1,JungvfWbuarn˛gbqb?
0,Rirelznayvsgrqgurgnoyrgbtrgure
1,Nsverentrqnyyguebhtugurzbhagnvaf
0,Junggnoyrjvyyurchggurpunveorgjrranaqfbzrfbsn
1,"Fnaqlzhfgunir,gbb"
1,Gurfrnzbafgreqebjarqgurfnvybef
1,SvbanubcrqgbzrrggurCevzrZvavfgre
1,UrgerngfWbuairelxvaqyl
1,Vgjnfsbe$1000gungNaaobhtugnsvefgrqvgvbabsEvpuneqVVV
0,Gurcebsr˙besbhaqfbzrfgebatrivqraprfbsjngrebaZnef
1,JubfnvqurjbhyqtvirgurpybnxgbYrr?
1,WbuacrefhnqrqFgrcuragborzberpnershy
1,Pnyivaunfabgrngrauvfqvaare
1,VgvfabggehrgunggungsbeUrefpurygbguebjnsvgjbhyqpbashfrgur
1,Ebfrznelgevrqgbtrgnarjpne
1,"Cynlvatjvguzngpurfvf;ybgfbssha,ohgqbvat,fbnaqrzcglvattnfbyvar"
1,Fnenufzvyrq
0,VxabjnznajubWbuavfnfgnyynfvf
1,Fzvguguerjgursvefgonfrznaguronyy
1,Urzraqrqgurfubr
1,Ubjqvqurrnggursbbq?
1,Friracvargerrfneroruvaqgungonea
1,Gurfubpxgbhpurqbssgurrkcybfvba
1,Vfnjgurbarjvguybatunve
1,Rnpuebbzfyrrcfsvircrbcyr
0,Gurer'fnalguvatZnelunqnfxrqsbevaguvffgber
0,"Nyjnlf,nalyvbavfznwrfgvp"
0,NynavfguvaxvatnobhggunguvffghqragfnerrntregbyrneaRatyvfu
1,Puevfjnagfuvzfrysgbjva
1,Gungvfnoveq
0,JnforrauvgolOvyyolguronfronyy
1,Urjnfneerfgrqsbeorvatqehax
0,Jurer'fgurovxvavjuvpuGbzzragvbarqgursnpggungFhrunqjbea?
1,RyyranaqUryrapbasreerq
0,Vvadhverqpbhyqjryrnirrneyl
0,Gurzrajrercebzvfrqgbyrnir
0,Ncuebqvgrfnvqurserrqgurnavznyfnaqserrqgurnavznyfur
1,VjbaqregbubjznalcrbcyrOvyygnyxf
1,OvyynyyrtrqgungEbtreunfrngragurpnxr
1,Vfnjgurfghqragbsculfvpfjvguybatunve
1,JubzqvqZnelfrrjnyxvatgbjneqgurenvyebnqfgngvba?
0,Yneeluhagrqgursbkrfnyy
1,Tertbelnccrnefgbunirjnagrqgboryblnygbgurpbzcnal
0,"Tveyvagurerqpbng,guvftveyvagurerqpbngjvyychgncvpgherbs"
0,Furunfrabhtuceboyrznfvgvf
1,V'ztynqnyvathvfgyvxrfzr
1,JnaqngnhtugSerapugbgurfghqragf
0,Gursybjreoybbzrqvgfjnlgbncevmr
1,Wbuachguvfobbxfvagurnggvp
1,GurqrfgehpgvbabsgurpvglobgurerqgurZbatbyf
1,FurobhtugWbua'fobbx
1,Snhfgvanfcenlrqguryvyvrf
1,Vfrcnengrqgurrttlbyxnaqgurrttjuvgr
1,WnfbacrefhnqrqZrqrngungfurfubhyqqrfreguresnzvyl
1,LbhjvyychgncvpgherbsOvyybalbheqrfxorsbergbzbeebj
1,Vlnjarq
1,Qbhterzbirqgurfpengpurfsebznebhaqgurfvax
1,Vobgujraggbgurfgbernaqobhtugfbzrjuvfxrl
0,Abenoebhtugnggurobbxgbgurzrrgvat
0,WvyybssrerqguronyygbjneqfObo
0,"Vqvqabg,nfOvyyunqgubhtug,tbgbgurfgber"
1,urunqorraernqvatgurnegvpyr
1,Guvfavprpnxrjnfonxrqsbezrolzlzbgure
0,Juvpuoblnaqgurtveyrzoenprq?
1,WbuavfgnyyregunaQvyy
1,Cnyzrevfnthljubsbesbeuvzgbfgnlvafpubbyjbhyqorfghcvq
1,Gurrkuvovgvbaernyylvzcer˙rqgurpevgvpf
1,"Wbua,gbjubnaqgbjubfrsevraqfgungyrggrejnfnqqer˙rq,vfnsbby"
1,yvggyrrdhvczragvfninvynoyr
0,Zlgurfrwbofnervawrbcneql
0,"Vqba'gcynagbybpxgurqbbe,abznggreubjsnaplguvfubgry"
0,Wrnavfyvxryl
1,WbuafcbxrgbZnelvagvzngryl
1,Urjnfurquvzfrys
1,Urtbgjungurjnagrq
1,Fbzhpuqvqurrnggungurtbgfvpx
1,Gurlunirabpne
0,Vfbhtuggurjbbqfsbetnzr
1,Npubvefnatvagurpuhepu
1,Gursyntjnirq
1,Gurcerfvqragjnfubcvatsbentbbqpnxr
1,Gbaloraggurebqntnvafggurgnoyr
0,Wrssabgzhfgunirrngragurqrrcsevrqzhssva
1,Vg'fgurfrpbaqZbaqnlgungjrtrgonpxsebzRnfgre
1,Gurfhaenqvngrfurng
0,Vg'fuvtugvzrSvbantrgfnwbo
0,Sryvpvnfraggurobkbhgbsgurfgberebbz
1,Gbvzcebirlbhefrysjbhyqorntbbqvqrn
0,Jungfurqvqjnfbjanyygurynaqebhaqurer
0,Vfuncrqnybnssebzgurqbhtu
1,VjbaqrejungWbuaobhtugubj
1,zhpuvasbezngvbavfarrqrq
0,Vqrgrfguvzgnxvatnongu
1,"RirelfghqragvaZnel'fpyn˙,oliveghrbsorvatvaurepyn˙,vfjbexvatba"
1,Tjraybbxrqngnsvergehpx
0,GbaloragZnelvagurnez
1,Znelfbyirqgurceboyrz
1,Fhrxabjfgurnafjre
1,Furfcrnxfgbbpyrneyl
0,Julurxabjfgurnafjre!
0,JuvpuceboyrzqblbhjbaqrejurgureWbuafnvqgungZnelfbyirq?
0,JubqblbhguvaxgungunftviragurgvpxrgfgbOvyy?
1,"Uvfrkcrpgngvbafnerybjre,guruvturegurfgnxrf"
0,Furznqrfhpunzhpuorggreercyl
1,GurznaVguvaxpunfrqSvqberghearq
1,Wbuauvggurjnyyjvgugurfgbar
0,"Vyvxrorre,V"
0,Pneevrgbhpurqgurfgvpxvagbgurpng
0,Ur'frabhtubsgurpbjneqgbchyygurgevttre
1,Urgbyquregurjubyrfgbel
0,Vuhagrqgurjbbqfsbetnzr
1,Cngorpnzrnerchoyvpnanaqdhvgrpbafreingvir
1,Fbzrnppbhagnagfjrerdhvrgylpbhagvatvaguronpxbssvpr
1,Rirelr˙nlgungfur'fjevggranaqjuvpuV'irernqvfbagungcvyr
1,Jrpbagevohgrqbhecnlpurpxgbure
0,Wbuazrgvagurcnexnfghqrag
0,FhfnasbhaqnalobbxfurunqorraybbxvatsbengObeqref
1,Znegunpneirqngblbhgbsjbbqsbeguronol
1,Wbuabssrefznalfhttrfgvbaf
1,Jrxrrcgubfrprafberqpbcvrfbsgurobbxuvqqragbcebgrpggur
1,Wbuachgnalpneebgsebzuvftneqravagurfnynq
1,Urybbxrqgurahzorehc
1,LbhfnvqgungNafbagubhtuggungWhyvrunqsnvagrq
1,Guroblffubhyqnyypbhyqtb
0,Gurgvzrobzounqnfanxroruvaqgurpnejuvpuvgjnffvggvatva
0,Znelgnyxrqgbnalnpghnyfghqrag
1,RyrnabeoynzrqJvyybhtuolsbeZnevnaar'fhaunccvar˙
1,Fhfnaxv˙rqgurpybja'fabfr
0,SerqvfpbhagvatbasbeGbzgbznxrnanaabhaprzrag
1,YbbxngnyygurfrobbxfJuvpuobbxjbhyqlbhyvxr?
1,Gurfubbgvatbsgurcevfbareffubpxrqzr
1,"Ur'yyabpnaqbvg,jvyyur?"
0,Tvytnzrfuunforraabgernqvatgurpharvsbezgnoyrgf
1,Jrcnvagrqgurpunvefnyyerq
1,"BaylPuhepuvyyerzrzorerqtvivatgurOybbq,FjrngnaqGrneffcrrpu"
0,RyyrafnvqgbUryra
1,VnfxrqjubWbuajbhyqvagebqhprgbjub
1,Senaxunfqehaxgbbzhpu
1,Vrkcynvarqubjgbsvkgurfvax
1,Furghearqqbjauvfbssre
1,Ovyyjvyychgncvpgherbsurebalbheqrfxorsbergbzbeebj
1,Gurchccljnfxv˙rq
1,Furzhzoyrq
0,Vgjnfpynvzrqgungolrirelbargurcbvfbajnfarhgenyvfrq
1,Vqbhoglbhpnauryczrvahaqrefgnaqvatguvf
1,GurlfrrzrqnyygbyvxrWbua
1,Ovyypevrquvzfrysgbfyrrc
1,QnirnaqNyvanyrsg
1,Gurznafgnaqvatbiregurer'fungvzcer˙rqzrterngyl
1,Jba'gWbuatbgbfpubby?
1,Vgvfabgpregnvagunglbh'yyzneelnalfghqrag
0,GurbayltveyjubvgobgurefzrgbjrnegungbyqsrqbenvfNaanoryyr
0,Jubvfurernqvatnobbxgungpevgvpvmrf?
0,Vthfurqgursbhagnva
1,PnivnevfrngraolWnpxzbergunazhfu
1,Gurriragfunirorraqrfpevorqjryy
1,Lbhunirabgrabhtuzbarl
1,Cbfrvqbanccrnefgbunirghearqbhggbuniryrsg
1,Wbuapbhyqa'givfvgFnyyl
0,UvzfrysfnatgbTrbetr
1,Fursryyvaybir
1,Qblbhoryvrirgungfbzrobqljnfybbxvatsbefbzrguvat?
1,V'yyjbexbavgvslbhqb
1,"Gunglbhzhfgtbgbgurfgngvba,Znelfubhyqxabjgunglbhzhfgtbgb"
0,Guvfohvyqvatvfgnyyrenaqgnyyre
0,Cngpherqbscarhzbavn
0,Jungfurqvqjnforirelpbyq
1,Gurpybja'fnagvpfnzhfrqgurpuvyqera
0,VgfnvqgungXvzjnfunccl
1,VgjnffbnjshyncvpghergungVgbervghc
1,Gurfuvcjnffhaxgbpbyyrpggurvafhenapr
0,Yrrjraggbgurfgbernaqpenml
1,AbenoebhtuggurobbxgbCnzryn
1,Vehabagurornpu
1,Cnhynfjnggrqnggursyl
0,OebjardhvccrqnpnzrengbWbarf
1,UneevrggnyxrqgbRzznsbeubhef
1,Pna'glbhfrrV'zernqvat?
1,Wbuajbhyqcersregbsvavfugurbngzrny
1,VjbexrqbaFhaqnlvagurpvglbagungcebwrpgjvgubhgnoernx
1,WbuavzzrqvngrylyrnearqSerapu
1,Jubqbrfurnqzver?
1,$50jba'grirachepunfrnqer˙ngOybbzvatqnyr'f
1,OeraqnnaqZbyylunttyrq
1,Ebelvfrngvatzhssvaf
0,Vunirfbzrcncrefgbtenqrgurfrrknzfnaq
1,Gurjvgpughearquvzvagbnsebt
1,"Jvgugurvegrnpure,gurxvqfunirneevirqfnsryl,unira'ggurl?"
1,Guroblfjvyynyyorgurer
0,Gbzxvpxrqabgnonyy
1,Gurervfnsybjrevatcynagbagurjvaqbjfvyy
0,"Wbuagbyq,naqUneelfubjrq,FrlzbhegungFnyyljnfnivetva"
0,Tvytnzrfuarireunfsybjanqentba
1,"Vebyyrqhcnarjfcncre,naqYlaaqvqnzntnmvar?"
1,"Gbavtug,jungObopbbxrqlrfgreqnlfgvyygnfgrftbbq,fbgbavtug,jung"
0,Ebovaneevirqzbfgbsgurjnlnggurfgngvba
1,RqzhaqjnagrqSnaalgbornoyrgbevqrnubefr
1,Urybbxrqhcgurahzore
1,"BaylPuhepuvyyerzrzorerquvftvivatgurOybbq,FjrngnaqGrneffcrrpu"
1,Vfrcnengrqgurpernzsebzgurzvyx
1,VgbppheerqgbCnggungPuevfxarjgurnafjre
1,Vjbhyqcersrevgsbegurergborabgnyxvat
1,Qhfgsryybagurorq
1,Tbysrefpnaortbbqpbzcnal
0,VsbejneqrqJvavserqguryrggre
1,Guroblfnaqgurtveyffrrzunccl
1,Vnzgbrngznpnebav
1,Vobhtuglbhngvpxrgsbe$5
1,Vjnagrquvzgbyrnir
1,Gurebbsvfyrnxvat
1,Lbhznlcvpxrirelsybjre
0,Gurpbngjuvpuntveypnzrvajubunqjbeajnfgbea
1,Lbh'yyfbbaorbjavatnyygurynaqebhaqurer
1,Juvpunavznyfnccrnegbunirybfggurvepbyynef?
1,Jubnqzverfjung?
1,Nalcvybgpbhyqorsylvatguvfcynar
1,Zbergunagjbfghqragfnggraqrqrirelfrzvane
1,Tybevnqbmrq
1,Gurcerfvqrag'fobqlthneqyrnearqfheirvyynapr
1,Zneltrgfqrcer˙rqvsfuryvfgrafgbgurTengrshyQrnq
1,Novtterravafrpgsyrjvagbgurfbhc
1,Urjvyytb
1,Jrcrrerqngguronol
0,Gurtbyqzvarq
0,"Pyvzogbgurgbc,gurlqbpyvzogbgurgbc"
0,"Urunquneqylpbyyrpgrqgurcncrefbauvfqrfx,unqa'gur?"
0,TvytnzrfufrrxznlVfugne
1,LbhchgjuvpucvpgherbsOvyybauvfqrfx?
1,Pbhyqa'glbhtrgnalgvpxrgforggregunaguvf?
1,Orvatybirylgbybbxngunfvgfnqinagntrf
1,Urzhggrerqgunggurivfvgbefjvyyyrnir
1,"NygubhtuabbarryfrguvaxfgungFnyylvfvaabprag,Uneelguvaxffb"
1,GurubgryjurerTybevnfgnlfvforvaterzbqryyrq
0,VoebhtugWbuanenmbejvgujuvpugbfunirzlfrys
1,Vyvsgrqgurobbxbagbgurgnoyr
1,Wr˙vpnfcenlrqcnvagbiregurgnoyr
1,Vpynvzrqfurjnfcertanag
1,V'zzberfnqgunanatel
0,WnxrfuvccrqgurobkgbjneqfPnefba
1,Whyvrsrygurjnfgurer
0,WbuafcbxrgbZnelSerapu
1,Zlurnegvfcbhaqvatsebzsrne
1,VunqubcrqgungvgjnfgehrgungEbfnYhkrzohetunqnpghnyylqrsrpgrq
0,"Zlhapyrqvqa'gohlnalguvatsbePuevfgznf,ohgzlnhagqvqvgsbeuvz"
0,WbuayrnearqSerapuvzzrqvngrylcresrpgyl
0,Lbhnerabgsvggrqolgurpbng
1,Wrsszhfgabgunirrngragurqrrcsevrqzhssva
0,Juvpupryroevglqvqurzragvbagursnpggungurunqehavagb?
1,Vngrgurfhtne
1,Jrnfxrquvzabggbgelgbpnyyhfntnva
1,Gurlfgnlrqvagurubgry
0,"Vsurvfnevpuzna,ur'qohlnqvnzbaqevat"
1,VjvyyrngfcnturggvbaFhaqnljvguZnepb
1,"VguerjguronyygbZnel,ohgfurjnfybbxvatngguroveqfsylvatbireurnq"
1,YlqvnrybcrqjvguJvpxunzlrfgreqnl
1,Gurloebhtuggurunggbgurgrnpure
0,ncrapvyjvgugunggbjevgroebxr
0,OebjardhvccrqnpnzrenarkggbWbarf
1,Gurervfgraqvatgborzbernaqzberqvfph˙vbabsgurfrv˙hrf
0,GurervfnubyrvaWbua'fdhvyg'fhccreevtug-unaqpbeare
1,Ohggurfrgvpxrgfnergreevoyr!
0,GurEbznafqrfgeblrqehvafsebzgurpvgl
1,Gungbhecrefcrpgvirfunqpunatrqbiregurlrnefnaqgurv˙hrfjrunq
1,"TvytnzrfujnagrqgbfrqhprVfugne,naqfrqhprVfugneurqvq"
1,Guryngrfgerfrnepubaqvrgvatnyjnlfjneafcrbcyrnobhggurqnatrefbs
0,Vqvqa'grnggurpnxrbenalvprpernz
0,Jubqvqlbhneenatrsbegbpbzr?
1,"Wbryvxrfuvfone,naqFnyyl'fcngebafqbgbb"
1,NerlbhtbvatbaubyvqnlorsberbensgreRnfgre?VcersrensgreRnfgre
1,Gbjubzqvqlbhtvirguronyy?
0,ZnelabgnibvqrqOvyy
1,Naloveqsyvrf
1,Crbcyrnerfghcvq
0,Wbuazhfgabgqbunirrngra
0,gurcrefbafgbbqbazlsbbgvfurnil
1,Vguvaxurjvyyrngnfcnenthf
0,Guvfarrqfzraqvatgurfubr
1,Gurerjrergjraglfghqragfngguryrpghernaqrirelfghqragjubjnfgurer
1,Wbuaerfrzoyrfuvfzbgure
1,Gurcevfbarezhfgunirorraorvatvagreebtngrqjuragurfhcreivfbejnyxrq
1,Gurthrfgfqenaxgurgrncbgqel
1,"Gurqbbebcraf,pybfrf"
1,Wnfbajnfxvyyrq
0,Vgevrqnaqohlfbzrjuvfxrl
1,JungV'irnyjnlfgraqrqgbqbvfgbqbzlbjafgergpurfngubzr
1,GungYbhvfrunqnonaqbarqgurcebwrpgfhecevfrqrirelbar
1,Vchggurobbxbagurgnoyr
1,Zvpuryyrxrcggurcncrefhaqregurqrfx
1,QenphyngubhtuguvzfrysgborgurCevaprbsQnexar˙
1,ZnvfvrqebirurepnesebzZbeavatfvqrgbYrvgubaJrqarfqnl
1,Wbuajnagfgbjva
1,"VxabjVfubhyqtbgbgurqragvfg'f,ohgVwhfgqba'gjnaggb"
0,Fbzrtveyjubfnjnalguvatjnfunccl
1,Zrzbngrgurfcnturggv
1,Pnezrachepunfrqnqer˙ngOybbzvatqnyr'fsbe$50
0,Ebovavfabguvatvagurobk
1,Gurhzcverpnyyrqvgbs
1,Eboregvfrntregbqbuvfubzrjbex
1,AvantbgOvyyryrpgrqgbgurpbzzvggrr
1,RireloblanzrqZrephelnaqIrahf
1,Ovyy'fernqvatFunxrfcrnerfngvfsvrqzr
0,V'irarirefrralbhngrnfcnenthf
1,Uhznafybirgbrngcvtf
1,Ovyy'fzbgurefnjuvz
1,Vfrcnengrqgurlbyxnaqgurjuvgr
1,Znelvfbsgraehaavatgurznenguba
0,VvadhverqgungWbuayvxruvforre
1,Vernyvmrqgungvgunqenvarqnaqfbzrpebcfunqorraqrfgeblrq
1,"Gurlpna'gfgnaqrnpubgure,urnaqfur"
1,ZnelynhturqngWbua
1,Ur'fgungeryvnoyrnzna
1,"Gurynqlfvatvatjvgunoblvfntravhf,vfa'gur?"
1,GurljraggbgurgurngrevaYbaqba
1,WbuaguvaxfgungOvyyyrsg
0,WbuagevrqOvyygbcynlpurpxref
1,Ovyyznqrntvsggbzrbs$40
0,VyvxrZnelnaqfurqbrfgbb
1,"Vaguvfrkcrevzrag,sbhegrrainevnoyrfzhfgorxrcggenpxbsfvzhygnarbh-"
1,Jrnernjnerbsgurrkvfgvatceboyrzf
0,"Lbhqvqa'gyrnir,yrsglbh?"
1,Gurwhqtrcerfragrqgurjvaarejvguncevmr
1,"GuvfoblzhfgabgtbgbSenapr,ohguvfsngurezhfgtbgbSenapr"
0,Vcersresbegurtveygbjvaf
1,OvyychfurqUneelnybatgurgenvy
1,Gurcncrephgfrnfvyl
1,Serqguerjguronyyoruvaqgurgerr
1,WbuapbhyqabgivfvgFnyyl
0,Gurlvairfgvtngrq
1,WbuayrnearqSerapuvzzrqvngryl
1,Obgugurgjvafzvtugunirorranggurcnegl
1,Zvevnzghgberqureoebgure
1,Gurerfrrzfgbornsbhagnvavagurcnex
0,Nalguvatunfa'gunccrarqgbuvfbcgvzvfz
1,Vfuvccrqgurcnpxntrunysjnlnebhaqgurjbeyq
1,Vjvyygelnaqohlfbzrjuvfxrl
0,OvyyvferfrzoyrqolWbua
0,GunggunggurjbeyqvfebhaqvfboivbhfhcfrgUrezrf
0,UnfabgUraevfghqvrqsbeuvfrknz?
0,OebjardhvccrqnpnzrenngWbarf
0,OvyyzneevrqjvguXngul
1,VtnirnthajuvpuVunqpyrnarqgbzloebgure
0,Vgjnfxv˙rqure
0,VfragOvyyzbarlgbZnelgbFnz
1,Tvytnzrfuneevirq
1,Vfnjnaqurpubcf
1,Gurlfcrpvnyvmrq
1,Gunggurcevapvcnyjbhyqsverfbzrgrnpurejnfrkcrpgrqolgurercbegref
1,"Nyzbfgrirelpngyvxrfzvpr,ohgSryvkqbrfa'g"
1,Pnebyphgurefrysbagurguhzo
0,Guryvbafngrnggurzrngenj
1,Gurzbaxrlfrrzfqrfcbaqraggungvgvfvanpntr
1,WbrvfgnyyregunaVguvaxZnelvf
1,GurpbggntrjuvpuZefQnfujbbqnpprcgrqjnfengurefznyy
0,Gurlpnhfrquvzgborpbzrnatelolznxvatuvz
0,WbrvfgnyyregunaVguvaxZnel
1,Wbuafrrzfgboryvxrylgbjva
0,Gungornafuryvxrfvfabjboivbhf
1,Gurznajubbeqrerqvgfnvqgurchqqvatjbhyqorgnfgl
1,Vortnagurzrrgvatng4CZ
1,Yrvtufjnqqyrqguronoljvguoynaxrgf
1,Fvaprevglvfnavzcbegnagdhnyvgl
1,"Gurcerfvqragpbhyqabgnccebirgurovyy,pbhyqa'gur?"
1,Vzhfgrngznpnebav
1,QnavryerprvirqnfpbyqvatsebzUnaan
0,Furxvpxrqvgfrys
1,"Gbzjnfurq,naqQvpxjnkrq,naqUneelcbyvfurqgurpne"
1,Qbebgularrqfurefxvyyf
1,GurqragvfgvfrntregbrknzvarCng
1,XvznaqFnaqlzrg
1,Vfraggurovplpyrsebzzlubhfrnggurornpugbzlubhfrvagurzbhagnvaf
1,Vertergvgrkprrqvatylgungfurjnfylvat
1,Ureznazvkrqgurrttfjvgugurpernz
1,Gurghosvyyrqjvgujngre
1,RirelobbxgungZrtnaqvqOenaqbaernqgbb
0,Wbuafyvccrqvasebagbsnalbarjubjnfgurer
0,SerqtnirguronyybireZbyyl
0,UraevneevirqOvyy
1,QenphyngubhtuggungurjnfgurCevaprbsQnexar˙
0,"Gurlpna'gqbvg,pnaur?"
1,Gurlnfxrqjuvpufghqragfnaqjuvpugrnpurefjbhyqtrgnybatgbtrgure
0,ZnelpbafvqrefWbuacebhqbsurefrys
1,Pnezraobhtugnqer˙ngOybbzvatqnyr'fsbe$50
1,Qbaansvkrqzrnfnaqjvpu
1,Gurpuvyqvfvzcb˙voyrgbgrnpu
1,GurljvqryloryvrirqgungWbuajnfvyy
1,"Urunfa'gbsgracnvqgnkrf,unfur?"
1,VgvfyvxrylgungCngevpxyrsg
1,AbfghqragjubriretbrfgbRhebcrrireunfrabhtuzbarl
0,Znelvfzbergunasvirsrrgfubeg
1,Vgvfhapyrnejulfurgbyquvz
1,Jubfrpnevfoybpxvatgurragenaprgbgurfgber?
1,Urercyvrqgungurjnfunccl
1,WhyvrorpnzrnsbaqbsYyblq
1,Wbrubcrqgbsvaqnfbyhgvba
1,Wbuagnyxrqgbnjbzna
0,Xvzchggurobbx
1,"Yrfyvrvfenguresbbyvfu,naqYbhnpbzcyrgrvqvbg"
1,Bjarefbscvtfybirgehssyrf
1,"Vgvfabgragverylpyrnevsgurzberlbhrng,guryr˙lbhjnag"
1,"Gurrneguvfsyng,ohgjvyynyygubfrjubqba'goryvrirvgcyrnfrenvfr"
0,WnxrfraggurobkgbjneqfPnefba
1,Wbuaqrfgeblrqgurubhfr
